Symbol	Name	Last Price	Market Time	Change	% Change	Volume	Open Interest
ES=F	E-Mini	2,952.75	11:43AM EDT	+4.75	+0.16%	834,456	3.136M
YM=F	Mini Dow Jones Indus	24,502.00	11:43AM EDT	-5.00	-0.02%	151,307	74,062
NQ=F	Nasdaq	9,384.75	11:43AM EDT	+59.25	+0.64%	237,851	196,019
RTY=F	E-mini	1,332.90	11:43AM EDT	-0.30	-0.02%	95,711	550,084
ZB=F	U.S. Treasury Bond Futures	178.71875	11:43AM EDT	+0.56250	+0.32%	149,946	1.006M
ZN=F	10-Year T-Note Futures	138.85938	11:43AM EDT	+0.26562	+0.19%	853,890	3.284M
ZF=F	Five-Year US Treasury Note Futu	125.5156250	11:43AM EDT	+0.1328125	+0.11%	509,823	3.262M
ZT=F	2-Year T-Note Futures	110.2265625	11:42AM EDT	+0.0117188	+0.01%	214,458	2.29M
GC=F	Gold	1,743.00	11:43AM EDT	+8.60	+0.50%	154,820	248,145
ZG=F	Gold 100 oz.	1,694.30	5:03AM EDT	+16.10	+0.96%	0	0
SI=F	Silver	17.83	11:43AM EDT	+0.37	+2.10%	50,098	113,600
ZI=F	Silver 5000 oz.	15.14	9:57AM EDT	+0.26	+1.77%	2	11
PL=F	Platinum	887.90	11:43AM EDT	+18.60	+2.14%	11,432	41,630
HG=F	Copper	2.4155	11:43AM EDT	+0.0115	+0.48%	46,220	102,247
PA=F	Palladium	2,066.60	11:35AM EDT	+50.40	+2.50%	458	3,487
CL=F	Crude Oil	32.25	11:42AM EDT	+0.43	+1.35%	8,629	23,344
HO=F	Heating Oil	0.9782	11:42AM EDT	-0.0282	-2.80%	11,330	49,771
NG=F	Natural Gas	1.8070	11:43AM EDT	+0.0240	+1.35%	107,718	79,199
RB=F	RBOB Gasoline	1.0408	11:42AM EDT	+0.0150	+1.46%	9,194	43,024
BZ=F	Brent Crude Oil Last Day Financ	34.60	11:43AM EDT	-0.21	-0.60%	16,087	21,162
B0=F	Mont Belvieu LDH Propane (OPIS)	0.2175	11:58AM EDT	-0.1090	-33.38%	-	12,351
C=F	Corn	324.25	11:43AM EDT	+3.50	+1.09%	73,332	600,778
O=F	Oats	317.75	11:42AM EDT	-1.00	-0.31%	278	2,918
KW=F	KC HRW Wheat Futures	443.00	11:42AM EDT	-3.25	-0.73%	11,079	123,739
RR=F	Rough Rice	16.01	11:35AM EDT	-0.06	-0.37%	185	6,834
SM=F	Soybean Meal	285.90	11:42AM EDT	+0.80	+0.28%	18,375	173,057
BO=F	Soybean Oil	26.99	11:43AM EDT	-0.33	-1.21%	36,301	177,435
S=F	Soybeans Jul 20	841.50	11:43AM EDT	-3.50	-0.41%	41,780	320,540
FC=F	Feeder Cattle Aug 20	132.125	11:33AM EDT	-0.425	-0.32%	1,287	15,515
LH=F	Lean Hogs Jun 20	57.72	11:32AM EDT	+0.07	+0.13%	2,928	30,937
LC=F	Live Cattle Jun 20	98.40	11:33AM EDT	-0.32	-0.33%	4,705	41,956
CC=F	Cocoa Jul 20	2,423.00	11:33AM EDT	+19.00	+0.79%	6,031	72,606
KC=F	Coffee Jul 20	107.75	11:33AM EDT	0.00	0.00%	8,028	80,456
CT=F	Cotton Jul 20	59.28	11:33AM EDT	+1.48	+2.56%	9,925	85,138
LB=F	Lumber Jul 20	352.00	11:32AM EDT	+5.80	+1.68%	133	1,587
OJ=F	Orange Juice Jul 20	127.30	11:31AM EDT	+0.50	+0.39%	489	7,418
SB=F	Sugar #11 Jul 20	10.93	11:32AM EDT	+0.13	+1.20%	41,806	327,810
